player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
172420,Darji Dhruv,11735214,Scorpion Kings,2,2,51,32,25.50,0,170.00,30,RHB,1,5,0,0
31418240,Dishant Thakor,11735208,Dominators,2,2,46,34,23.00,0,135.29,34,LHB,1,5,0,0
40570926,Manav Chauhan,11735197,Death Over Dominators,3,3,46,23,23.00,1,100.00,46,RHB,1,4,0,0
94120,Hiren Mewada,11735197,Death Over Dominators,3,2,36,26,36.00,1,150.00,24,RHB,3,2,0,0
45237970,Ravin,11735208,Dominators,2,2,28,15,28.00,1,68.29,41,-,0,2,0,0
36617317,Ajay,11735191,Rising Legends,3,3,24,12,8.00,0,85.71,28,RHB,2,1,0,0
9834002,Varshil Patel,11735191,Rising Legends,3,3,21,18,7.00,0,105.00,20,RHB,0,2,0,0
45237588,Trupit,11735191,Rising Legends,3,3,19,12,19.00,2,100.00,19,RHB,0,2,0,0
483923,Pratik Patel,11735191,Rising Legends,3,3,19,15,9.50,1,67.86,28,RHB,1,0,0,0
40570717,Vatsal Kadia,11735214,Scorpion Kings,2,2,18,16,9.00,0,56.25,32,RHB,0,0,0,0
19817734,Vivek Nayi,11735202,Kingfisher 11,2,2,14,11,7.00,0,77.78,18,RHB,0,1,0,0
26101732,Sanjesh Raghuwanshi,11735197,Death Over Dominators,3,2,13,7,13.00,1,59.09,22,RHB,0,1,0,0
16123157,Dev Joshi,11735191,Rising Legends,3,2,10,8,5.00,0,43.48,23,RHB,0,0,0,0
2357305,Frank,11735202,Kingfisher 11,2,1,9,9,9.00,0,69.23,13,RHB,0,0,0,0
403657,Nepal Singh,11735202,Kingfisher 11,2,2,9,7,4.50,0,69.23,13,RHB,0,0,0,0
15992950,Sharma Vansh Vijaybhai,11735214,Scorpion Kings,2,2,8,6,4.00,0,100.00,8,RHB,0,0,0,0
21717274,Darshan Barot,11735214,Scorpion Kings,2,2,8,8,4.00,0,40.00,20,RHB,0,0,0,0
40570928,Jaydeep Parekh,11735202,Kingfisher 11,2,2,7,4,3.50,0,77.78,9,RHB,0,0,0,0
3691575,Dr Pinakin Patel,11735191,Rising Legends,3,2,6,5,-,2,31.58,19,RHB,0,0,0,0
40665430,Jigar Raval,11735191,Rising Legends,3,3,6,4,2.00,0,40.00,15,RHB,0,0,0,0
28281576,Ashutosh Singh,11735208,Dominators,2,2,5,3,5.00,1,71.43,7,RHB,0,0,0,0
27222807,Archit Singh,11735202,Kingfisher 11,2,2,5,4,5.00,1,50.00,10,RHB,0,0,0,0
40571082,Sujeet,11735208,Dominators,2,2,4,4,4.00,1,44.44,9,RHB,0,0,0,0
45237777,Hitesh Patel,11735202,Kingfisher 11,2,2,4,4,2.00,0,40.00,10,-,0,0,0,0
